Country or Area,Year,NumeroMilitares,GastoPercentual,GastoLCU
Brazil,2016,729500,134849879597875,134.849.879.597.875
Brazil,2015,729500,136442860732673,136.442.860.732.673
Brazil,2014,729500,133024442267927,133.024.442.267.927
Brazil,2013,713480,132944608506446,132.944.608.506.446
Brazil,2012,713480,137865646470437,137.865.646.470.437
Brazil,2011,713480,14118511895188,14.118.511.895.188
Brazil,2010,713480,153940699320577,153.940.699.320.577
Brazil,2009,713480,153862570557065,153.862.570.557.065
Brazil,2008,721000,144192406875092,144.192.406.875.092
Brazil,2007,721000,146629207045265,146.629.207.045.265
Brazil,2006,754000,148108493201143,148.108.493.201.143
China,2016,2695000,193060638113578,193.060.638.113.578
China,2015,2843000,193492242683391,193.492.242.683.391
China,2014,2993000,191534127190954,191.534.127.190.954
China,2013,2993000,187233362515339,187.233.362.515.339
China,2012,2993000,183856391040614,183.856.391.040.614
China,2011,2945000,182192749816085,182.192.749.816.085
China,2010,2945000,189671314671103,189.671.314.671.103
China,2009,2945000,206742610749241,206.742.610.749.241
China,2008,2885000,187815614578948,187.815.614.578.948
China,2007,2885000,191464898903647,191.464.898.903.647
China,2006,3605000,201072344953433,201.072.344.953.433
Colombia,2016,481100,306917023761745,306.917.023.761.745
Colombia,2015,481100,312488371715517,312.488.371.715.517
Colombia,2014,455750,313040424762312,313.040.424.762.312
Colombia,2013,455750,328882458335503,328.882.458.335.503
Colombia,2012,440224,316677706852945,316.677.706.852.945
Colombia,2011,440224,307278341135743,307.278.341.135.743
Colombia,2010,441828,363114856383642,363.114.856.383.642
Colombia,2009,441828,386329454054022,386.329.454.054.022
Colombia,2008,411000,370974427551673,370.974.427.551.673
Colombia,2007,411000,326673966297973,326.673.966.297.973
Colombia,2006,398000,327613063886762,327.613.063.886.762
United States,2016,1348400,322213451636286,322.213.451.636.286
United States,2015,1347300,328963361790659,328.963.361.790.659
United States,2014,1381250,34997016227134,34.997.016.227.134
United States,2013,1433150,383251355480334,383.251.355.480.334
United States,2012,1492200,423873279976231,423.873.279.976.231
United States,2011,1520100,458398365758253,458.398.365.758.253
United States,2010,1569417,46656063724573,46.656.063.724.573
United States,2009,1563996,463680498241866,463.680.498.241.866
United States,2008,1540000,42200413082766,42.200.413.082.766
United States,2007,1555000,38470533790131,38.470.533.790.131
United States,2006,1498000,380819723006084,380.819.723.006.084
